iter	Passed	Remaining
0	2	204
1	4	205
2	6	212
3	8	196
4	10	196
5	12	200
6	15	209
7	17	205
8	19	200
9	21	191
10	22	183
11	24	176
12	25	171
13	27	166
14	28	161
15	30	158
16	31	155
17	33	151
18	34	148
19	36	145
20	37	140
21	38	137
22	40	135
23	41	132
24	43	129
25	44	127
26	46	125
27	48	123
28	49	121
29	51	119
30	52	116
31	53	114
32	55	112
33	56	110
34	58	108
35	60	107
36	62	106
37	64	104
38	65	102
39	67	100
40	69	99
41	69	96
42	71	94
43	72	92
44	74	90
45	76	89
46	77	87
47	79	85
48	81	84
49	82	82
50	85	81
51	87	80
52	89	79
53	92	79
54	94	77
55	96	76
56	100	76
57	103	74
58	105	73
59	108	72
60	110	70
61	113	69
62	115	67
63	117	65
64	118	63
65	120	62
66	122	60
67	127	60
68	129	58
69	131	56
70	137	56
71	141	54
72	143	52
73	145	50
74	146	48
75	148	47
76	150	45
77	152	43
78	154	41
79	157	39
80	159	37
81	160	35
82	162	33
83	163	31
84	164	29
85	166	27
86	167	25
87	169	23
88	171	21
89	172	19
90	174	17
91	175	15
92	176	13
93	178	11
94	179	9
95	180	7
96	182	5
97	183	3
98	186	1
99	188	0
